Date : 2020-12-09 13:03:07
Directory : /Users/paulkim/Desktop/cs_projects/retrievo_server
Total : 86 files,  4754 codes, 329 comments, 850 blanks, all 5933 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| TypeScript   |         75 |      4,490 |        323 |        812 |      5,625 |
| JSON         |          3 |        126 |          0 |          3 |        129 |
| JavaScript   |          1 |         50 |          0 |          1 |         51 |
| YAML         |          1 |         36 |          3 |         10 |         49 |
| Shell Script |          3 |         29 |          3 |         12 |         44 |
| Markdown     |          3 |         23 |          0 |         12 |         35 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         86 |      4,754 |        329 |        850 |      5,933 |
| .circleci                                                                                             |          1 |         36 |          3 |         10 |         49 |
| .github                                                                                               |          1 |         16 |          0 |          7 |         23 |
| .github/ISSUE_TEMPLATE                                                                                |          1 |         16 |          0 |          7 |         23 |
| scripts                                                                                               |          3 |         29 |          3 |         12 |         44 |
| src                                                                                                   |         75 |      4,490 |        323 |        812 |      5,625 |
| src/bin                                                                                               |          1 |        110 |          0 |          4 |        114 |
| src/entities                                                                                          |         16 |        872 |         18 |        157 |      1,047 |
| src/middleware                                                                                        |          4 |         84 |          2 |         15 |        101 |
| src/repository                                                                                        |          3 |        728 |         89 |        113 |        930 |
| src/resolvers                                                                                         |         37 |      1,974 |        125 |        404 |      2,503 |
| src/resolvers/types                                                                                   |         26 |        374 |          7 |        142 |        523 |
| src/seeder                                                                                            |          2 |        300 |         27 |         36 |        363 |
| src/services                                                                                          |          5 |        138 |         45 |         36 |        219 |
| src/utils                                                                                             |          4 |        150 |          8 |         24 |        182 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                              | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
