Date : 2020-12-08 06:28:36
Directory : /Users/paulkim/Desktop/cs_projects/retrievo_server
Total : 67 files,  3975 codes, 256 comments, 679 blanks, all 4910 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| TypeScript   |         56 |      3,712 |        250 |        641 |      4,603 |
| JSON         |          3 |        125 |          0 |          3 |        128 |
| JavaScript   |          1 |         50 |          0 |          1 |         51 |
| YAML         |          1 |         36 |          3 |         10 |         49 |
| Shell Script |          3 |         29 |          3 |         12 |         44 |
| Markdown     |          3 |         23 |          0 |         12 |         35 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         67 |      3,975 |        256 |        679 |      4,910 |
| .circleci                                                                                             |          1 |         36 |          3 |         10 |         49 |
| .github                                                                                               |          1 |         16 |          0 |          7 |         23 |
| .github/ISSUE_TEMPLATE                                                                                |          1 |         16 |          0 |          7 |         23 |
| scripts                                                                                               |          3 |         29 |          3 |         12 |         44 |
| src                                                                                                   |         56 |      3,712 |        250 |        641 |      4,603 |
| src/bin                                                                                               |          1 |        110 |          0 |          4 |        114 |
| src/entities                                                                                          |         16 |        864 |         23 |        157 |      1,044 |
| src/middleware                                                                                        |          4 |         84 |          2 |         15 |        101 |
| src/repository                                                                                        |          2 |        586 |        110 |         92 |        788 |
| src/resolvers                                                                                         |         21 |      1,344 |         74 |        266 |      1,684 |
| src/resolvers/types                                                                                   |         15 |        220 |          7 |         83 |        310 |
| src/seeder                                                                                            |          2 |        302 |         25 |         36 |        363 |
| src/services                                                                                          |          4 |        138 |          5 |         26 |        169 |
| src/utils                                                                                             |          3 |        150 |          2 |         22 |        174 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
